Battletag,Paragon,Rank,Rift level,Time,Completed on
Enigmatixlol#1878,3048,1,128,880350,2019-04-01
Guardian#1612,2452,2,128,899383,2019-03-28
Guivas#1624,3545,3,127,882216,2019-04-03
Rascalgodx#1267,2440,4,125,792316,2019-02-08
Rose#13608,2917,5,125,828116,2019-03-27
Impostor#11704,3132,6,125,846416,2019-04-01
HotShot#12779,3637,7,125,875283,2019-03-18
KyoriStyle#1266,3264,8,125,880416,2019-03-22
RNGesus#1236,1933,9,124,812133,2019-04-06
Kamui#1272,2758,10,124,812249,2019-03-30
chichi#1994,3222,11,124,843550,2019-04-06
Landy#1814,3234,12,124,844933,2019-03-25
gambler#1325,3965,13,124,850350,2019-03-20
Bishop#13398,3669,14,124,864816,2019-04-06
Haadesda#11742,3747,15,124,883033,2019-03-22
Sharo#1225,2941,16,124,890716,2019-02-26
Jin#15465,2559,17,124,898000,2019-04-01
Tantrum#11770,2631,18,124,898482,2019-03-01
Spacely#1780,2308,19,123,706949,2019-02-10
jflogr#1135,2813,20,123,772750,2019-03-23
JizzCue#6256,3022,21,123,814633,2019-04-06
YUKI#1860,2798,22,123,820416,2019-02-22
Nos#1124,3031,23,123,822166,2019-03-16
Gekiflare#6879,3152,24,123,842750,2019-04-07
Vitha#1199,3596,25,123,855083,2019-03-26
dmkt#1267,2285,26,123,862866,2019-03-30
SteLitY#1825,3116,27,123,868216,2019-04-05
B00M#6950,3019,28,123,868566,2019-03-16
medohagi#1403,2809,29,123,876266,2019-04-07
fob#1340,3729,30,123,877066,2019-04-06
LebronJames#11128,2649,31,123,888766,2019-03-17
Abaddon#12596,2511,32,123,894283,2019-04-06
Jossans#1858,2983,33,123,896699,2019-03-24
TiaoMedonho#1512,3067,34,123,899583,2019-03-14
Intro#11871,3630,35,122,677933,2019-04-08
mittens#11839,3877,36,122,735900,2019-03-11
Take2#11178,3535,37,122,750050,2019-04-01
Verdammten#1340,3088,38,122,815866,2019-03-28
Dumba22#1526,2826,39,122,829250,2019-04-08
Ventsi#1333,3481,40,122,838116,2019-03-12
dunha#1768,3321,41,122,841283,2019-03-20
Estrange#6500,3132,42,122,844333,2019-03-14
Wish#11554,2844,43,122,844949,2019-03-13
Saitou#11758,3143,44,122,846533,2019-04-04
Pokemon#11635,3633,45,122,860516,2019-03-14
Keshaqt#1894,2732,46,122,862983,2019-04-04
Wedge#6114,3192,47,122,867483,2019-03-23
noexit33#1916,3123,48,122,872916,2019-03-15
cjwang#1133,2352,49,122,878183,2019-03-30
Gazzy#11973,2556,50,122,878900,2019-03-28
adamsz#11253,1746,51,122,879416,2019-03-21
Pondue#1940,2987,52,122,888915,2019-03-15
Aaress#1977,2593,53,122,891099,2019-02-25
EvasD3#1651,3080,54,122,892733,2019-03-24
ANTESQDMERDA#1760,2250,55,122,893600,2019-03-27
skylin2012#1135,3430,56,122,894583,2019-03-17
NeverMore#1327,3357,57,122,895483,2019-04-01
Phantom#25904,3046,58,122,897632,2019-03-09
Torx#1337,3048,59,122,898366,2019-04-08
extreme#1862,2655,60,122,899166,2019-03-03
Iria#1342,1641,61,121,702883,2019-02-28
Midnight#6794,2268,62,121,749583,2019-03-01
Sawgood#11492,2697,63,121,755466,2019-03-13
Bylly#1378,2819,64,121,775166,2019-03-25
JinnyK75#1410,2480,65,121,781816,2019-03-04
Zer0#1538,3461,66,121,782132,2019-03-29
Zissou#1704,2599,67,121,782550,2019-03-10
qkking#3377,3138,68,121,791332,2019-04-05
Naatee#1540,3147,69,121,792150,2019-03-28
IamAFK#11412,2701,70,121,804750,2019-03-30
HollyKnight#1145,2720,71,121,814016,2019-03-19
TOBAYYY#11214,2726,72,121,815016,2019-04-04
pophy#1774,3022,73,121,816200,2019-04-03
Baldar#1312,2852,74,121,836266,2019-02-18
Jacozilla#1655,2456,75,121,841733,2019-03-23
Flinoge#1635,2848,76,121,855583,2019-03-11
Loopy#1727,2062,77,121,856632,2019-03-25
JuneJuneVide#1125,2223,78,121,858999,2019-03-17
Metrius#1393,1450,79,121,862649,2019-03-10
Zbrown#11624,3293,80,121,865550,2019-03-19
Magician#1859,3023,81,121,869000,2019-03-29
daNo#11941,2262,82,121,870199,2019-02-11
JayKay#11345,2975,83,121,873466,2019-04-05
Moltres#11232,3169,84,121,874400,2019-03-12
PointnShoot#11763,2608,85,121,875433,2019-04-07
LUCKY#14917,2032,86,121,875633,2019-02-25
Slantyboy186#1639,2435,87,121,877216,2019-03-10
Rylc#1187,2425,88,121,877499,2019-03-07
Zohan#1991,2090,89,121,878700,2019-03-24
